City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Tampakan,PH,6.4442,124.9264,77.88,91,97,0.58,overcast clouds
323,Ciudad Bolivar,VE,8.1222,-63.5497,78.33,84,20,5.73,few clouds
324,Barcelona,ES,41.3888,2.159,73.98,73,0,1.01,clear sky
325,Djibo,BF,14.1022,-1.6306,85.37,50,28,12.57,scattered clouds
326,Taoudenni,ML,22.6783,-3.9836,99.52,26,89,16.73,overcast clouds
327,Hamilton,US,39.1834,-84.5333,78.94,57,20,1.01,few clouds
328,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.44,scattered clouds
329,Baykit,RU,61.67,96.37,60.19,93,100,1.39,overcast clouds
330,Monrovia,LR,6.3005,-10.7969,76.98,77,100,8.88,overcast clouds
331,Santa Cruz Del Sur,CU,20.7147,-77.9956,84.61,73,20,3.33,moderate rain
332,Berlevag,NO,70.8578,29.0864,45.88,94,100,18.7,light rain
333,Ahipara,NZ,-35.1667,173.1667,56.97,73,69,9.6,broken clouds
334,Nizhnyaya Tavda,RU,57.6731,66.1725,58.08,97,4,6.82,clear sky
335,Chabahar,IR,25.2919,60.643,82.99,84,46,5.06,scattered clouds
336,Mamallapuram,IN,12.6264,80.1722,84.25,57,100,9.4,overcast clouds
337,High Level,CA,58.5169,-117.136,89.71,35,20,4.61,few clouds
338,Salima,MW,-13.7804,34.4587,65.53,60,11,5.23,few clouds
339,Krasnorechenskiy,RU,44.6265,135.3532,68.13,82,100,2.08,overcast clouds
340,San Quintin,MX,30.4833,-115.95,77.56,58,9,15.32,clear sky
341,Glamoc,BA,44.0458,16.8486,66.6,87,51,4.47,broken clouds
342,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,19.57,few clouds
343,Najran,SA,17.4924,44.1277,86.65,41,100,10.18,overcast clouds
344,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,0,13.8,clear sky
